symbol,ma_type,ma_period,mode,rr,trades,win_rate,profit_factor,total_return,max_drawdown,positive_month_rate,avg_monthly_pnl,median_monthly_pnl,monthly_pnl_std,withdrawn_total,final_equity,total_wealth,consistency_score
GBPUSD,ema,21,flip,1.5,337,0.4006,0.9231,-0.1057,0.1489,0.4833,-3.52,0.0,51.81,0.0,3577.39,3577.39,0.249683
GBPUSD,ema,21,flip,2.0,337,0.3739,1.1106,0.1657,0.1274,0.5083,5.52,9.35,61.88,727.08,3935.76,4662.85,0.250105
GBPUSD,ema,21,flip,2.5,337,0.365,1.3524,0.5546,0.1017,0.5417,18.49,11.37,72.97,2054.13,4164.12,6218.25,0.254464
GBPUSD,ema,21,slope_flip,1.5,97,0.4227,1.0447,0.0169,0.0553,0.3083,0.56,0.0,29.36,99.25,3968.26,4067.5,0.213097
GBPUSD,ema,21,slope_flip,2.0,97,0.4021,1.301,0.1193,0.0554,0.3,3.98,0.0,34.46,474.31,4002.73,4477.04,0.198064
GBPUSD,ema,21,slope_flip,2.5,97,0.3814,1.5147,0.21,0.0562,0.3,7.0,0.0,39.59,770.37,4069.8,4840.17,0.189412
GBPUSD,ema,21,pullback,1.5,413,0.2349,0.4535,-0.6873,0.6895,0.25,-22.91,-15.9,41.19,0.0,1250.71,1250.71,0.051235
GBPUSD,ema,21,pullback,2.0,411,0.2214,0.5535,-0.6118,0.6242,0.2917,-20.39,-20.36,47.01,0.0,1552.65,1552.65,0.069045
GBPUSD,ema,21,pullback,2.5,407,0.2064,0.637,-0.5689,0.5809,0.325,-18.96,-22.32,57.16,0.0,1724.25,1724.25,0.079448
GBPUSD,ema,34,flip,1.5,256,0.4023,0.9251,-0.0786,0.1174,0.4202,-2.64,0.0,49.8,20.63,3665.09,3685.72,0.228567
GBPUSD,ema,34,flip,2.0,256,0.3789,1.1445,0.1631,0.0906,0.4454,5.48,0.0,57.51,599.48,4052.82,4652.3,0.235639
GBPUSD,ema,34,flip,2.5,256,0.3555,1.3151,0.3715,0.1032,0.4622,12.49,0.0,64.74,1306.97,4178.99,5485.96,0.229097
GBPUSD,ema,34,slope_flip,1.5,64,0.375,0.871,-0.0334,0.0791,0.1849,-1.12,0.0,22.58,0.0,3866.42,3866.42,0.132769
GBPUSD,ema,34,slope_flip,2.0,64,0.3438,1.0075,0.0021,0.0455,0.1681,0.07,0.0,25.22,0.0,4008.21,4008.21,0.121962
GBPUSD,ema,34,slope_flip,2.5,64,0.3125,1.1007,0.029,0.0644,0.1597,0.97,0.0,29.2,77.28,4038.62,4115.9,0.109442
GBPUSD,ema,34,pullback,1.5,308,0.2273,0.4388,-0.5907,0.6015,0.2101,-19.86,-11.33,36.24,0.0,1637.06,1637.06,0.057612
GBPUSD,ema,34,pullback,2.0,307,0.215,0.5259,-0.5528,0.57,0.2437,-18.58,-11.17,42.93,0.0,1788.65,1788.65,0.068195
GBPUSD,ema,34,pullback,2.5,306,0.1961,0.5937,-0.5029,0.5322,0.2857,-16.9,-9.68,50.73,0.0,1988.5,1988.5,0.081797
GBPUSD,ema,50,flip,1.5,205,0.4049,0.9345,-0.0544,0.1436,0.3529,-1.83,0.0,39.13,40.18,3742.28,3782.46,0.202977
GBPUSD,ema,50,flip,2.0,205,0.3659,1.0673,0.0613,0.1417,0.3613,2.06,0.0,48.88,355.96,3889.13,4245.09,0.192514
GBPUSD,ema,50,flip,2.5,205,0.3366,1.1875,0.181,0.1176,0.3613,6.08,0.0,54.65,775.47,3948.55,4724.02,0.189439
GBPUSD,ema,50,slope_flip,1.5,30,0.4667,1.2121,0.0227,0.0452,0.1092,0.76,0.0,15.48,120.07,3970.61,4090.68,0.087392
GBPUSD,ema,50,slope_flip,2.0,30,0.4,1.2673,0.0317,0.0455,0.0924,1.07,0.0,18.41,155.5,3971.4,4126.9,0.071728
GBPUSD,ema,50,slope_flip,2.5,30,0.3667,1.3909,0.0488,0.0567,0.0924,1.64,0.0,21.12,196.17,3998.97,4195.14,0.068984
