symbol,ma_type,ma_period,mode,rr,trades,win_rate,profit_factor,total_return,max_drawdown,positive_month_rate,avg_monthly_pnl,median_monthly_pnl,monthly_pnl_std,withdrawn_total,final_equity,total_wealth,consistency_score
USDJPY,ema,21,flip,1.5,317,0.3785,0.8198,-0.2302,0.2767,0.4083,-7.67,0.0,48.04,20.77,3058.6,3079.37,0.184523
USDJPY,ema,21,flip,2.0,317,0.3344,0.9108,-0.1208,0.2706,0.4,-4.03,0.0,56.33,159.53,3357.32,3516.85,0.1712
USDJPY,ema,21,flip,2.5,317,0.2934,0.9365,-0.0917,0.3196,0.45,-3.06,0.0,64.56,218.64,3414.39,3633.03,0.169433
USDJPY,ema,21,slope_flip,1.5,69,0.3333,0.7096,-0.0913,0.0972,0.1833,-3.04,0.0,24.03,0.0,3634.76,3634.76,0.127284
USDJPY,ema,21,slope_flip,2.0,69,0.3043,0.8446,-0.0507,0.1069,0.175,-1.69,0.0,29.15,27.75,3769.35,3797.1,0.114558
USDJPY,ema,21,slope_flip,2.5,69,0.2609,0.8465,-0.0534,0.1349,0.15,-1.78,0.0,31.31,50.41,3735.89,3786.31,0.093268
USDJPY,ema,21,pullback,1.5,357,0.1905,0.3242,-0.7435,0.7461,0.15,-24.78,-20.38,33.03,0.0,1025.97,1025.97,0.02696
USDJPY,ema,21,pullback,2.0,355,0.1775,0.3961,-0.7105,0.714,0.175,-23.68,-17.64,36.43,0.0,1157.92,1157.92,0.034393
USDJPY,ema,21,pullback,2.5,351,0.1595,0.4312,-0.6899,0.6953,0.25,-23.0,-17.52,41.17,0.0,1240.27,1240.27,0.050289
USDJPY,ema,34,flip,1.5,288,0.375,0.8082,-0.2276,0.3382,0.3866,-7.65,0.0,49.14,215.98,2873.74,3089.73,0.158483
USDJPY,ema,34,flip,2.0,288,0.3264,0.8686,-0.1694,0.3269,0.3866,-5.69,0.0,56.14,260.89,3061.49,3322.38,0.152898
USDJPY,ema,34,flip,2.5,288,0.309,0.9918,-0.0113,0.2827,0.4286,-0.38,0.0,63.37,453.1,3501.79,3954.89,0.17155
USDJPY,ema,34,slope_flip,1.5,65,0.3846,0.8844,-0.0327,0.1262,0.1849,-1.1,0.0,24.88,215.07,3654.02,3869.09,0.123223
USDJPY,ema,34,slope_flip,2.0,65,0.2923,0.7837,-0.0684,0.1667,0.1513,-2.3,0.0,29.33,216.34,3509.96,3726.3,0.092236
USDJPY,ema,34,slope_flip,2.5,65,0.2615,0.8361,-0.0542,0.1676,0.1429,-1.82,0.0,32.55,238.45,3544.68,3783.13,0.084519
USDJPY,ema,34,pullback,1.5,272,0.1985,0.3616,-0.6468,0.6531,0.1681,-21.74,-14.33,39.02,16.99,1395.76,1412.75,0.039186
USDJPY,ema,34,pullback,2.0,269,0.171,0.404,-0.6232,0.6496,0.1681,-20.95,-14.33,42.38,84.11,1423.28,1507.39,0.038491
USDJPY,ema,34,pullback,2.5,267,0.161,0.489,-0.5613,0.6148,0.1765,-18.87,-14.51,48.37,159.66,1595.22,1754.89,0.042367
USDJPY,ema,50,flip,1.5,211,0.4028,0.8872,-0.0995,0.1713,0.3277,-3.34,0.0,44.92,19.69,3582.38,3602.07,0.173938
USDJPY,ema,50,flip,2.0,211,0.3507,0.9742,-0.0246,0.1713,0.3277,-0.83,0.0,51.05,35.08,3866.46,3901.54,0.165795
USDJPY,ema,50,flip,2.5,211,0.327,1.1033,0.1074,0.1298,0.4118,3.61,0.0,57.96,300.79,4128.84,4429.64,0.207777
USDJPY,ema,50,slope_flip,1.5,29,0.3103,0.6287,-0.0521,0.0656,0.0756,-1.75,0.0,16.89,7.49,3784.12,3791.61,0.058353
USDJPY,ema,50,slope_flip,2.0,29,0.2759,0.7335,-0.0383,0.0749,0.0672,-1.29,0.0,18.96,26.39,3820.23,3846.62,0.050277
USDJPY,ema,50,slope_flip,2.5,29,0.2414,0.7665,-0.0353,0.0807,0.0588,-1.19,0.0,20.89,54.7,3804.28,3858.98,0.042881
USDJPY,ema,50,pullback,1.5,207,0.1787,0.2951,-0.5778,0.5778,0.1597,-19.42,-10.89,31.89,0.0,1688.81,1688.81,0.048199
USDJPY,ema,50,pullback,2.0,207,0.1691,0.3686,-0.5439,0.5439,0.1597,-18.28,-4.66,35.34,0.0,1824.5,1824.5,0.050514
USDJPY,ema,50,pullback,2.5,206,0.1553,0.4188,-0.5151,0.5151,0.2101,-17.31,0.0,40.56,0.0,1939.68,1939.68,0.067599
USDJPY,ema,55,flip,1.5,195,0.4051,0.9058,-0.0749,0.1778,0.3193,-2.52,0.0,39.69,19.86,3680.39,3700.24,0.175498
USDJPY,ema,55,flip,2.0,195,0.3949,1.1843,0.1602,0.1365,0.3277,5.39,0.0,46.97,444.13,4196.74,4640.87,0.17831
USDJPY,ema,55,flip,2.5,195,0.3487,1.2214,0.2091,0.1332,0.4454,7.03,0.0,54.46,576.59,4259.85,4836.44,0.229682
