risk_pct,withdraw_pct,pos_month_rate,avg_month,median_month,max_dd,final_eq,withdrawn,wealth,trades,pf
0.005,0.0,0.65,15.76,14.2,0.044,5891.08,0.0,5891.08,387,1.332
0.005,0.5,0.617,13.11,15.86,0.085,4176.42,1396.22,5572.64,387,1.338
0.005,1.0,0.625,13.11,13.63,0.062,4030.8,1542.34,5573.14,387,1.347
0.0075,0.0,0.65,27.08,24.31,0.067,7249.73,0.0,7249.73,387,1.328
0.0075,0.5,0.625,20.1,21.2,0.133,4243.94,2168.13,6412.08,387,1.327
0.0075,1.0,0.642,19.62,19.37,0.096,4044.39,2309.46,6353.85,387,1.34
0.01,0.0,0.642,38.23,32.25,0.093,8587.56,0.0,8587.56,387,1.311
0.01,0.5,0.633,26.68,22.46,0.168,4276.95,2925.24,7202.18,387,1.315
0.01,1.0,0.633,25.8,25.14,0.128,4053.47,3042.71,7096.18,387,1.33
0.015,0.0,0.642,70.32,59.41,0.138,12438.67,0.0,12438.67,387,1.302
0.015,0.5,0.642,41.94,37.85,0.254,4410.22,4622.59,9032.81,387,1.316
0.015,1.0,0.642,38.34,31.89,0.191,4084.27,4516.31,8600.58,387,1.323
0.02,0.0,0.642,108.77,85.0,0.182,17052.01,0.0,17052.01,387,1.289
0.02,0.5,0.642,54.34,43.08,0.324,4549.48,5971.34,10520.82,387,1.304
0.02,1.0,0.642,49.36,40.24,0.249,4106.94,5816.14,9923.08,387,1.313
0.03,0.0,0.642,219.31,153.15,0.265,30316.63,0.0,30316.63,387,1.27
0.03,0.5,0.642,78.34,55.27,0.44,4683.08,8717.84,13400.92,387,1.286
0.03,1.0,0.642,70.92,49.96,0.359,4156.79,8353.01,12509.8,387,1.304
