entry_time,exit_time,side,entry,exit,lots,pnl,reason
2016-08-29,2016-09-01,1,101.92599816894531,103.91999816894531,0.05,66.11666666666667,tp
2016-09-07,2016-09-08,-1,101.5190015258789,101.96256709939536,0.1,-30.271038234430115,stop
2016-09-09,2016-09-12,1,102.31199975585938,101.94626420220709,0.12,-30.098844292182857,stop
2016-09-13,2016-09-14,-1,101.7449994506836,102.1492191863221,0.11,-30.412780613490444,stop
2016-09-14,2016-09-15,1,102.50999780273438,102.11433480462408,0.11,-29.785286528088402,stop
2016-09-16,2016-09-19,-1,102.00200323486328,102.31473616433412,0.14,-30.168406750611766,stop
2016-09-19,2016-09-20,1,102.31299920654297,102.15699920654296,0.29,-32.19000000000114,stop
2016-09-20,2016-09-21,-1,101.84000067138672,102.36556120078347,0.08,-28.58989490116033,stop
2016-10-03,2016-10-04,1,101.56900354003906,102.17546335119602,0.17,67.54211193112127,tp
2016-11-02,2016-11-03,-1,104.08600286865234,103.71700286865234,0.29,69.30999999999996,tp
2016-11-07,2016-11-08,1,104.20099969482422,104.56999969482422,0.29,69.30999999999996,tp
2016-12-30,2017-01-02,-1,116.26099829101562,116.87567818086963,0.07,-29.17506152652013,stop
2017-01-03,2017-01-05,1,117.50100274658203,116.88885958747369,0.07,-29.056680758389305,stop
2017-01-05,2017-01-06,-1,117.10699896240234,116.73799896240234,0.29,69.30999999999996,tp
2017-01-09,2017-01-10,1,117.1560015258789,117.0000015258789,0.3,-33.300000000001184,stop
2017-01-10,2017-01-11,-1,115.97900061035156,116.78500061035156,0.05,-27.216666666666587,stop
2017-01-30,2017-01-31,1,114.67399926757813,114.40054259326489,0.16,-30.288711926745346,stop
2017-01-31,2017-02-07,-1,113.6440015258789,111.73439761068502,0.05,63.30346383979613,tp
2017-02-10,2017-02-14,1,113.43999810791016,114.2808853133561,0.13,71.96689113864798,tp
2017-02-17,2017-02-20,-1,113.29900030517578,112.93000030517578,0.3,71.69999999999996,tp
2017-02-22,2017-02-23,1,113.67499871826172,113.25389563950047,0.11,-31.65089244249157,stop
2017-02-24,2017-03-01,-1,112.67599920654297,113.356662278305,0.06,-27.646522870481064,stop
2017-03-02,2017-03-16,1,114.12700219726563,113.32100219726563,0.05,-27.216666666666587,stop
2017-03-16,2017-03-22,-1,113.3960004272461,111.6450747402571,0.06,69.6170274795597,tp
2017-04-24,2017-04-25,1,109.98399682617188,109.67525122966022,0.14,-29.796255674421243,stop
2017-04-25,2017-04-26,-1,109.63499884033203,109.79099884033204,0.29,-32.19000000000114,stop
2017-04-26,2017-05-09,1,111.0519976196289,113.0459976196289,0.05,66.11666666666667,tp
2017-05-17,2017-05-18,-1,112.64000372314453,112.27100372314453,0.3,71.69999999999996,tp
2017-06-16,2017-06-29,1,110.9580034790039,112.52039446238729,0.07,72.42157922455779,tp
2017-07-17,2017-07-21,-1,112.39100317382812,111.2502225148585,0.09,67.81683953817708,tp
2017-08-16,2017-08-17,1,110.60200067138672,110.28157326798872,0.14,-30.886557650479997,stop
2017-08-17,2017-08-18,-1,109.9930005493164,109.21704879688083,0.14,71.44216356065363,tp
2017-08-30,2017-08-31,1,109.79600091552734,110.5289500150474,0.15,72.24490995200559,tp
2017-09-06,2017-09-12,-1,108.59599737548828,109.40199737548828,0.05,-27.216666666666587,stop
2017-09-12,2017-09-13,1,109.4009966430664,109.7699966430664,0.3,71.69999999999996,tp
2017-10-11,2017-10-13,-1,112.33900122070312,111.97000122070312,0.31,74.08999999999996,tp
2017-10-19,2017-10-31,1,113.01900048828125,112.99000219726562,0.07,-1.843253580729188,ma_exit
2017-10-31,2017-11-01,-1,112.99000219726562,113.14600219726563,0.31,-34.410000000001226,stop
2017-11-01,2017-11-10,1,113.6560015258789,113.369,0.08,-15.866748046875026,ma_exit
2017-11-10,2017-11-13,-1,113.369,113.70899837909384,0.14,-32.713182048758604,stop
2017-12-01,2017-12-06,1,112.56199975585938,112.29563246687191,0.17,-31.378292751912994,stop
2017-12-15,2017-12-18,-1,112.39000372314453,112.66428748988032,0.17,-32.275493563389745,stop
2017-12-18,2017-12-19,1,112.72200341796875,112.56600341796874,0.3,-33.300000000001184,stop
2017-12-19,2017-12-20,-1,112.56200079345703,112.71800079345704,0.3,-33.300000000001184,stop
2017-12-20,2017-12-28,1,112.98900170898438,112.67043883382954,0.14,-30.71253501445167,stop
2017-12-29,2018-01-02,-1,112.869,112.33514607327946,0.2,69.78052356273855,tp
2018-01-08,2018-01-09,1,113.15999932861328,112.86690862875935,0.15,-30.359069985393422,stop
2018-01-10,2018-01-11,-1,112.74899725341797,112.30747298774882,0.25,71.83737761152412,tp
2018-02-05,2018-02-06,1,110.04100366210938,109.88500366210937,0.3,-33.300000000001184,stop
2018-02-06,2018-02-14,-1,109.08900122070312,107.09500122070312,0.05,66.11666666666667,tp
2018-03-12,2018-03-13,1,106.89699884033203,106.5058844327456,0.11,-29.451723223004766,stop
2018-03-13,2018-03-14,-1,106.25400213623047,106.55255276273917,0.15,-30.90506265086997,stop
2018-03-14,2018-03-15,1,106.51400323486328,106.35800323486328,0.29,-32.19000000000114,stop
2018-03-15,2018-03-20,-1,106.14899877929687,106.49584349795916,0.13,-30.969875617397822,stop
2018-03-21,2018-03-22,1,106.47500177001953,106.2897247855843,0.24,-31.324317509637403,stop
2018-03-22,2018-03-23,-1,105.92300085449219,104.94084800284249,0.11,71.25454245431142,tp
2018-03-29,2018-04-02,1,106.81799645996094,106.01199645996094,0.05,-27.216666666666587,stop
2018-04-03,2018-04-04,-1,105.79300360107422,106.02212894194632,0.19,-30.352543177132908,stop
2018-04-04,2018-04-13,1,106.44199700927734,107.64361459647837,0.09,71.46705523206168,tp
2018-05-24,2018-05-25,-1,109.86300329589844,109.37455010015314,0.22,70.09980204264305,tp
2018-06-05,2018-06-08,1,109.96899743652344,109.60131193348279,0.12,-30.254840243251774,stop
2018-06-11,2018-06-12,-1,109.43700079345703,109.69689548412504,0.17,-30.644731609040633,stop
2018-06-12,2018-06-19,1,110.39200158691406,109.60257567167736,0.05,-26.664197174556854,stop
2018-06-22,2018-06-25,-1,109.9460034790039,109.5770034790039,0.29,69.30999999999996,tp
2018-06-27,2018-06-29,1,110.10300012207031,110.47200012207031,0.29,69.30999999999996,tp
2018-07-23,2018-07-31,-1,111.0470014038086,111.72260890352322,0.06,-27.4442999885852,stop
2018-08-01,2018-08-02,1,111.81399865722656,111.51098706428562,0.15,-31.35115929409476,stop
2018-08-06,2018-08-13,-1,111.22800115966797,110.29678935420047,0.11,67.51886573428321,tp
2018-08-15,2018-08-16,1,111.25200219726563,111.09600219726562,0.3,-33.300000000001184,stop
2018-08-16,2018-08-23,-1,110.56999639892578,111.20045591778116,0.07,-29.911444213250824,stop
2018-08-24,2018-08-31,1,111.37299676513672,110.74535264974487,0.07,-29.780058718286128,stop
2018-09-07,2018-09-10,-1,110.48900274658203,111.11508261811228,0.07,-29.707060671411732,stop
2018-09-11,2018-09-12,1,111.15400262451172,111.52300262451172,0.29,69.30999999999996,tp
2018-10-09,2018-10-10,-1,113.09100012207031,113.24700012207032,0.29,-32.19000000000114,stop
2018-10-23,2018-10-24,1,112.76300378417969,112.60700378417968,0.29,-32.19000000000114,stop
2018-10-24,2018-10-26,-1,112.43800024414062,111.73343753312675,0.15,69.40627110138782,tp
2018-10-31,2018-11-19,1,113.058001953125,112.7240033569336,0.06,-13.779943847656268,ma_exit
2018-11-19,2018-11-26,-1,112.7240033569336,113.3557294560156,0.07,-29.970551290493418,stop
2018-11-27,2018-12-04,1,113.50999780273438,113.15200621333926,0.12,-29.479327151608995,stop
2018-12-05,2018-12-11,-1,112.6929974975586,113.39280884518314,0.06,-28.41245390498186,stop
2018-12-11,2018-12-13,1,113.18699975585938,113.55599975585938,0.29,69.30999999999996,tp
2018-12-18,2018-12-20,-1,112.8230023803711,111.77664579574784,0.1,69.05710564155028,tp
2019-01-17,2019-01-18,1,109.04300256347656,109.48774996759984,0.24,69.47958465972425,tp
2019-01-31,2019-02-01,-1,108.97500280761719,109.16442733238848,0.24,-31.987923963407574,stop
2019-02-04,2019-02-11,1,109.44400354003906,110.19737271815048,0.14,69.33445662373187,tp
2019-03-11,2019-03-12,-1,111.07400183105469,111.2300018310547,0.3,-33.300000000001184,stop
2019-03-12,2019-03-13,1,111.34800286865234,111.19200286865234,0.3,-33.300000000001184,stop
2019-03-14,2019-03-15,-1,111.18999914550781,111.34599914550782,0.29,-32.19000000000114,stop
2019-03-15,2019-03-19,1,111.75899835205078,111.25928248580338,0.09,-30.61295197484396,stop
2019-03-19,2019-03-20,-1,111.36700109863281,111.52300109863282,0.29,-32.19000000000114,stop
2019-04-01,2019-04-02,1,111.00100274658203,111.37000274658203,0.29,69.30999999999996,tp
2019-04-10,2019-04-11,-1,111.0990033569336,111.2550033569336,0.29,-32.19000000000114,stop
2019-04-12,2019-04-26,1,111.62700219726563,111.53300146484375,0.08,-5.573372395833358,ma_exit
2019-04-26,2019-04-29,-1,111.53300146484375,111.80726358193401,0.16,-30.37462582296102,stop
2019-05-23,2019-05-24,1,110.22700067138672,110.07100067138671,0.29,-32.19000000000114,stop
2019-05-24,2019-06-04,-1,109.55199865722656,107.98229465147736,0.06,62.368160229968076,tp
2019-07-01,2019-07-03,1,108.38800378417969,107.89971638598422,0.09,-29.927243891728047,stop
2019-07-03,2019-07-05,-1,107.79900030517578,107.9960889943705,0.22,-30.446341081891468,stop
